Date,Close,Volume,Open,High,Low,SMA_50,SMA_200,RSI,ATR
2024-01-04,98.63,7422255,99.27,100.93,98.435,115.5114,135.6465,-103.65534052492379,13.871399999999994
2024-01-03,99.63,11632600,100.695,101.2,99.25,115.0034,135.28585,-62.48521905343341,11.560000000000002
2024-01-02,102.12,8732824,101.88,102.84,100.76,114.4898,134.94625,-31.83739889344224,11.560000000000002
2023-12-29,103.99,8692584,104.65,105.105,102.6507,113.99539999999999,134.61645000000001,-15.800939868134677,9.909999999999997
2023-12-28,105.0,5232627,105.01,105.48,104.65,113.5076,134.30195,-8.49952984777471,7.480000000000004
2023-12-27,105.0,7931497,104.24,105.08,103.91,113.1002,133.96745,4.799546346394251,7.480000000000004
2023-12-26,104.36,4480062,103.38,105.01,103.3,112.6728,133.65040000000002,11.96954429855262,7.480000000000004
2023-12-22,103.14,6531315,103.28,104.255,101.88,112.1726,133.34085000000002,1.0916195112231293,7.480000000000004
2023-12-21,102.51,8639127,101.7,102.73,100.12,111.73200000000001,133.0238,-7.244152361297267,7.480000000000004
2023-12-20,100.04,11952550,103.9,105.21,99.92,111.2788,132.7108,-18.565565445384095,7.480000000000004
2023-12-19,104.53,5429382,103.08,104.6,103.0,110.83959999999999,132.44205,1.5107529000285638,7.480000000000004
2023-12-18,102.73,7070183,102.12,103.37,101.98,110.35340000000001,132.1425,1.5199748396645276,7.480000000000004
2023-12-15,101.12,9053451,101.13,101.87,100.47,109.90720000000002,131.85555,-5.672840380796771,7.480000000000004
2023-12-14,101.55,10281970,101.89,102.68,99.79,109.49320000000002,131.56605,9.848620989902827,7.045000000000002
2023-12-13,100.66,10743190,96.94,100.88,96.71,109.0502,131.27275,7.9469152840765815,8.77000000000001
2023-12-12,96.74,6052030,95.21,96.79,94.57,108.5404,130.93669999999997,-9.668703113011148,10.91000000000001
2023-12-11,95.47,6082478,94.24,95.56,93.91,107.9792,130.60485,-29.728013435417665,11.570000000000007
2023-12-08,94.34,9790654,92.71,94.7,92.56,107.398,130.2627,-54.990040814311584,12.920000000000002
2023-12-07,93.22,7221849,92.44,93.6395,92.0575,106.9374,129.9249,-81.52210917626502,13.15249999999999
2023-12-06,91.2,9167015,93.68,93.71,90.96,106.44239999999999,129.57125,-111.99512137922827,14.25
2023-12-05,92.41,10405980,91.53,92.98,91.33,105.9312,129.2292,-75.81485147896714,14.25
2023-12-04,92.5,11774990,91.8,92.64,91.03,105.38480000000001,128.89395000000002,-61.97246024172347,14.25
2023-12-01,93.92,10621310,91.96,94.31,91.59,104.912,128.56035,-41.11905820219192,14.25
2023-11-30,92.39,10001850,91.83,92.585,90.53,104.46959999999999,128.25805,-36.98075097621228,14.069999999999993
