Date,Close,Volume,Open,High,Low
08/24/2018,52.25,2464347,51.74,52.37,51.69
08/23/2018,51.37,2146917,51.50,52.00,51.19
08/22/2018,51.61,2032408,51.44,51.91,51.29
08/21/2018,51.66,2420479,51.68,52.2336,51.585
08/20/2018,51.34,2512007,51.30,51.5139,51.035
08/17/2018,51.00,3370784,50.33,51.30,50.14
08/16/2018,50.51,3010443,50.16,51.03,50.16
08/15/2018,49.36,4282961,49.67,49.719,48.477
08/14/2018,50.45,2290686,49.98,50.609,49.74
08/13/2018,49.52,3361980,50.24,50.6266,49.35
08/10/2018,50.10,2897528,50.25,50.5785,49.681
08/09/2018,51.16,1861330,51.42,51.64,51.07
08/08/2018,51.38,1844231,51.34,51.6199,51.10
08/07/2018,51.44,2402592,51.35,51.67,51.2609
08/06/2018,50.96,2336528,50.37,51.13,50.188
08/03/2018,50.41,1928168,49.87,50.42,49.74
08/02/2018,49.73,2919859,48.21,49.87,48.07
08/01/2018,49.03,2445249,49.31,49.65,48.63
07/31/2018,49.19,2494006,49.02,49.5973,48.741
07/30/2018,48.48,2306468,49.35,49.44,48.21
07/27/2018,49.33,3059711,50.58,50.58,48.76
07/26/2018,50.33,2363158,50.30,50.78,50.22
07/25/2018,50.78,3592773,49.33,50.9146,49.32
07/24/2018,49.41,3427635,49.52,49.96,48.95
07/23/2018,48.77,1621846,48.35,48.86,48.1585
07/20/2018,48.51,2138332,48.54,48.89,48.39
07/19/2018,48.64,2640829,48.81,49.04,48.38
07/18/2018,49.22,2000264,48.98,49.29,48.71
07/17/2018,48.93,3222130,47.90,49.159,47.88
07/16/2018,48.35,1402388,48.52,48.582,48.0901
07/13/2018,48.45,2318239,48.29,48.67,48.01
07/12/2018,48.36,3709386,47.83,48.42,47.50
07/11/2018,47.17,3500558,47.25,47.73,46.9301
07/10/2018,48.14,2869617,47.93,48.239,47.76
07/09/2018,47.68,3138350,47.00,47.69,46.98
07/06/2018,46.37,4119525,45.30,46.62,45.071
07/05/2018,45.26,2865229,44.85,45.34,44.25
07/03/2018,44.17,1803409,45.21,45.25,44.00
07/02/2018,44.67,4078391,43.58,44.80,43.45
06/29/2018,44.54,3856660,44.88,45.61,44.40
06/28/2018,44.34,3971823,43.47,44.70,43.11
06/27/2018,43.52,4750890,44.96,45.759,43.47
06/26/2018,44.65,2959542,44.69,45.13,44.26
06/25/2018,44.40,7427637,45.60,45.68,43.43
06/22/2018,46.25,1847109,46.74,46.78,46.15
